CAMIS,Timestamp,Temperature_F,Humidity_percent,Air_Quality_Index,Surface_Score,Risk_Flag
50054023,2025-08-04 05:18:53,62.5,27.4,30.3,61.7,high
50054023,2025-08-09 22:58:15,72.0,52.1,42.6,88.1,normal
50008557,2025-08-04 20:07:51,68.0,19.0,41.2,78.3,warning
50008557,2025-08-13 00:37:35,72.6,50.9,36.9,62.1,high
50008557,2025-08-09 22:47:22,71.6,52.4,42.0,94.4,normal
50008557,2025-08-07 06:59:55,71.6,40.9,64.3,71.2,warning
50008557,2025-08-12 11:26:51,64.5,34.6,63.5,95.7,normal
50008557,2025-08-05 15:53:06,75.2,45.8,36.8,61.2,high
50008557,2025-08-13 18:52:52,81.2,35.0,35.9,98.6,warning
50008557,2025-08-12 10:47:19,68.2,40.1,40.2,60.9,high
50008557,2025-08-04 09:50:42,67.7,57.2,42.1,89.7,normal
50008557,2025-08-03 01:00:55,73.4,30.5,71.4,99.6,normal
50168452,2025-08-03 01:32:52,82.9,36.6,60.4,95.9,warning
50168452,2025-08-02 06:55:10,76.9,50.3,32.1,73.9,warning
50168452,2025-08-10 08:18:23,71.0,56.8,42.3,83.7,normal
50168452,2025-08-01 01:23:38,71.2,49.5,30.2,95.4,normal
50168452,2025-08-05 00:40:25,73.5,39.8,40.8,70.9,warning
50168452,2025-08-06 19:07:01,69.1,40.5,12.3,75.9,warning
50168452,2025-08-04 00:44:47,60.1,45.1,28.3,61.1,high
50168452,2025-08-05 10:49:36,71.6,46.6,33.1,70.2,warning
50168452,2025-08-07 13:27:38,72.6,48.1,55.4,98.5,normal
50168452,2025-08-08 21:13:04,66.5,51.1,47.6,78.5,warning
50148177,2025-08-07 11:20:25,71.2,36.6,70.9,66.3,high
50148177,2025-08-05 15:51:10,77.8,41.7,46.0,62.0,high
50148177,2025-08-01 18:28:34,72.6,37.4,95.3,75.5,warning
50148177,2025-08-07 04:23:27,68.9,35.5,36.4,91.6,normal
50148177,2025-08-03 21:12:10,70.8,41.6,56.4,66.8,high
50148177,2025-08-09 09:45:50,72.5,61.0,88.8,81.6,normal
50148177,2025-08-08 10:55:06,73.6,36.6,67.3,69.9,high
50148177,2025-08-08 10:15:29,74.4,52.2,50.1,82.0,normal
50148177,2025-08-07 05:35:16,72.4,57.9,60.6,91.2,normal
50148177,2025-08-12 12:40:35,69.1,51.3,66.3,87.7,normal
50105704,2025-08-05 14:12:15,79.7,45.3,50.3,89.7,normal
50105704,2025-08-08 06:32:43,74.2,49.1,59.3,72.6,warning
50105704,2025-08-09 13:31:44,77.1,49.3,42.3,99.2,normal
50105704,2025-08-13 12:44:40,78.6,39.7,61.7,92.9,normal
50105704,2025-08-11 14:52:13,82.8,34.5,59.4,93.6,warning
50105704,2025-08-10 07:52:56,77.2,48.1,61.9,65.3,high
50105704,2025-08-12 21:04:53,70.3,29.5,40.4,60.8,high
50105704,2025-08-08 04:42:35,63.8,30.1,61.3,93.4,normal
50105704,2025-08-13 14:10:51,73.7,65.4,41.3,88.8,normal
50105704,2025-08-04 01:15:01,76.5,45.9,28.2,89.1,normal
50072658,2025-08-02 13:00:22,80.1,43.9,29.2,64.9,high
50072658,2025-08-08 16:03:19,70.9,50.7,50.0,89.4,normal
50072658,2025-08-11 16:01:01,68.0,35.1,48.5,66.7,high
50072658,2025-08-05 14:19:15,67.7,44.5,55.7,84.6,normal
50072658,2025-08-13 17:27:40,74.7,45.9,30.3,80.3,normal
50072658,2025-08-11 20:27:46,70.4,50.6,48.9,75.6,warning
50072658,2025-08-11 17:31:36,69.0,43.0,63.8,74.6,warning
50072658,2025-08-10 06:55:00,77.5,47.8,55.5,84.5,normal
50072658,2025-08-13 16:54:38,66.7,31.2,55.6,95.3,normal
50072658,2025-08-08 13:33:11,66.1,33.2,67.6,62.5,high
50150941,2025-08-13 05:37:55,73.8,35.7,52.6,63.8,high
50150941,2025-08-07 18:21:04,67.9,46.6,63.1,83.9,normal
50150941,2025-08-03 06:08:03,68.2,52.2,16.7,88.1,normal
50150941,2025-08-08 09:24:30,67.8,58.5,37.4,79.5,warning
50150941,2025-08-08 21:38:33,70.8,48.8,27.2,97.0,normal
50150941,2025-08-13 19:43:29,75.6,42.5,43.1,87.1,normal
50150941,2025-08-09 21:25:51,63.1,42.4,45.5,87.0,normal
50150941,2025-08-07 17:43:27,77.0,40.6,58.4,62.4,high
50150941,2025-08-13 02:37:04,77.0,46.9,46.6,79.8,warning
50150941,2025-08-10 03:37:21,71.2,37.2,61.4,63.1,high
41153001,2025-08-05 02:49:50,68.8,50.3,42.9,81.5,normal
41153001,2025-08-02 14:22:11,75.3,51.1,43.3,72.1,warning
41153001,2025-08-10 19:50:51,65.5,40.2,41.9,71.3,warning
41153001,2025-08-03 15:38:53,72.4,55.0,51.5,95.7,normal
41153001,2025-08-09 11:27:06,71.1,64.2,74.7,83.6,normal
41153001,2025-08-09 09:18:22,74.9,60.3,48.8,70.9,warning
41153001,2025-08-13 12:25:53,72.4,58.8,55.4,80.5,normal
41153001,2025-08-02 14:05:26,70.5,45.9,56.9,96.6,normal
41153001,2025-08-04 03:53:44,67.5,44.1,42.0,89.1,normal
41153001,2025-08-02 21:10:27,68.1,39.3,45.7,78.0,warning
40396037,2025-08-12 06:31:55,69.4,41.5,49.2,90.6,normal
40396037,2025-08-06 13:17:23,77.0,56.5,56.9,70.8,warning
40396037,2025-08-11 08:36:57,69.1,40.0,63.3,74.4,warning
40396037,2025-08-01 07:13:41,73.1,31.5,25.9,70.6,warning
40396037,2025-08-01 04:05:49,76.2,56.0,61.5,84.2,normal
40396037,2025-08-06 09:23:27,71.5,52.7,31.1,68.5,high
40396037,2025-08-11 12:14:29,75.6,50.5,55.0,89.7,normal
40396037,2025-08-13 07:36:18,73.4,21.4,43.3,86.4,normal
40396037,2025-08-03 16:14:41,71.5,48.1,46.4,79.3,warning
40396037,2025-08-10 23:20:51,77.2,42.4,71.4,90.8,normal
50123491,2025-08-12 17:52:06,75.5,63.5,46.2,89.1,normal
50123491,2025-08-08 10:15:10,71.2,55.9,31.8,97.9,normal
50123491,2025-08-11 17:51:00,67.1,47.8,45.9,79.7,warning
50123491,2025-08-11 05:58:36,72.0,38.4,45.6,82.7,normal
50123491,2025-08-01 17:02:26,76.8,45.7,31.8,66.8,high
50123491,2025-08-13 20:05:20,83.8,62.6,31.2,61.8,high
50123491,2025-08-07 13:34:46,72.6,46.9,37.3,89.9,normal
50123491,2025-08-05 23:29:03,73.7,63.1,40.2,62.4,high
50123491,2025-08-09 02:07:56,79.3,51.2,48.3,84.4,normal
50123491,2025-08-03 06:53:12,65.4,38.0,54.7,93.5,normal
40933080,2025-08-08 02:55:39,69.4,56.2,46.8,64.1,high
40933080,2025-08-09 12:40:25,61.5,50.9,35.3,73.0,warning
40933080,2025-08-08 01:59:19,71.3,44.0,39.4,80.0,normal
40933080,2025-08-02 17:44:47,68.7,56.6,58.0,78.5,warning
40933080,2025-08-03 01:30:55,77.7,34.9,46.1,92.7,normal
40933080,2025-08-12 16:56:26,66.2,53.4,51.4,61.2,high
40933080,2025-08-09 19:26:09,64.7,18.8,52.2,99.4,normal
40933080,2025-08-04 05:36:37,68.4,37.8,63.3,86.5,normal
40933080,2025-08-12 18:01:17,75.6,48.8,81.0,69.7,high
40933080,2025-08-04 13:57:56,65.6,26.2,39.2,62.1,high
41507070,2025-08-01 13:21:32,81.3,40.6,43.0,60.2,high
41507070,2025-08-08 17:54:42,71.9,49.7,34.3,76.6,warning
41507070,2025-08-13 23:36:21,72.0,37.9,44.5,71.9,warning
41507070,2025-08-11 12:55:22,76.8,45.7,82.1,80.3,normal
41507070,2025-08-10 23:38:04,70.3,58.7,71.0,86.1,normal
41507070,2025-08-13 22:10:07,70.2,24.6,48.7,95.6,normal
41507070,2025-08-08 06:33:07,75.0,30.5,25.7,68.4,high
41507070,2025-08-09 14:17:26,70.7,44.1,58.5,96.9,normal
41507070,2025-08-12 18:45:41,72.4,42.2,45.0,94.5,normal
41507070,2025-08-13 05:34:51,68.4,38.6,48.9,64.8,high
50077695,2025-08-03 03:52:34,74.1,62.1,31.5,96.8,normal
50077695,2025-08-03 03:08:44,73.0,48.6,35.6,86.9,normal
50077695,2025-08-03 02:16:31,67.5,20.4,63.7,63.1,high
50077695,2025-08-04 13:01:50,65.2,56.8,44.4,71.6,warning
50077695,2025-08-08 20:03:26,69.7,33.6,16.6,65.1,high
50077695,2025-08-06 18:58:47,69.7,31.8,31.2,70.0,warning
50077695,2025-08-09 13:26:39,67.0,48.9,62.3,79.1,warning
50077695,2025-08-13 02:26:49,64.0,39.4,59.2,92.1,normal
50077695,2025-08-11 00:00:01,67.6,38.2,48.4,61.0,high
50077695,2025-08-10 03:09:46,76.0,52.3,47.3,78.9,warning
50093478,2025-08-08 13:44:41,77.9,61.1,52.3,82.0,normal
50093478,2025-08-02 15:33:32,74.8,41.1,51.7,84.1,normal
50093478,2025-08-12 04:46:19,83.1,40.9,37.8,70.6,warning
50093478,2025-08-05 07:13:46,72.0,58.3,53.6,73.1,warning
50093478,2025-08-02 05:10:36,72.8,39.9,68.2,64.1,high
50093478,2025-08-10 08:19:30,71.8,55.0,58.5,92.5,normal
50093478,2025-08-13 04:45:59,66.1,27.4,41.6,99.1,normal
50093478,2025-08-02 01:05:05,66.2,36.4,63.9,84.3,normal
50093478,2025-08-09 02:15:00,64.4,38.6,36.3,82.3,normal
50093478,2025-08-04 18:21:43,72.3,48.0,51.1,86.0,normal
50150322,2025-08-03 17:43:58,70.4,50.8,47.1,61.3,high
50150322,2025-08-09 23:51:06,72.4,33.2,57.3,81.5,normal
50150322,2025-08-01 07:20:03,85.1,46.2,56.2,88.3,high
50150322,2025-08-05 21:12:56,77.4,46.8,59.7,94.6,normal
50150322,2025-08-13 19:24:10,70.9,52.7,61.5,85.3,normal
50150322,2025-08-01 14:57:23,72.1,56.2,75.1,74.9,warning
50150322,2025-08-07 01:45:37,70.4,38.0,68.6,91.3,normal
50150322,2025-08-11 05:07:12,77.4,18.9,58.3,63.1,high
50150322,2025-08-11 10:05:12,68.3,52.2,46.8,82.4,normal
50150322,2025-08-03 17:30:22,68.1,42.8,20.4,62.4,high
50146049,2025-08-04 21:35:21,74.8,50.7,44.9,87.9,normal
50146049,2025-08-10 14:24:41,68.8,30.2,55.6,80.3,normal
50146049,2025-08-12 23:15:25,69.2,43.2,45.9,72.7,warning
50146049,2025-08-04 03:39:24,71.8,37.8,39.6,84.6,normal
50146049,2025-08-11 03:57:43,68.4,47.8,60.9,63.6,high
50146049,2025-08-01 01:57:44,83.0,37.8,73.6,91.2,warning
50146049,2025-08-08 11:21:44,71.9,47.3,26.5,65.4,high
50146049,2025-08-09 11:06:57,73.5,52.7,57.3,90.8,normal
50146049,2025-08-08 12:07:32,60.5,42.1,51.5,64.5,high
50146049,2025-08-02 20:04:49,74.8,41.2,31.7,70.9,warning
50058908,2025-08-03 20:17:39,72.5,43.8,55.7,94.7,normal
50058908,2025-08-03 12:59:12,68.6,61.0,66.7,91.7,normal
50058908,2025-08-09 08:00:32,68.7,52.8,33.4,81.7,normal
50058908,2025-08-09 22:01:27,69.4,52.4,41.3,86.5,normal
50058908,2025-08-09 21:41:12,66.8,37.6,57.0,74.4,warning
50058908,2025-08-10 09:06:25,78.0,44.5,63.6,88.4,normal
50058908,2025-08-03 20:36:20,69.1,25.3,31.8,77.1,warning
50058908,2025-08-11 21:06:19,71.6,40.7,35.1,95.2,normal
50058908,2025-08-10 00:31:43,75.3,62.8,39.1,87.6,normal
50058908,2025-08-13 04:21:51,71.7,25.2,41.9,94.0,normal
50059672,2025-08-10 02:48:13,78.9,41.9,48.3,62.6,high
50059672,2025-08-08 13:21:57,68.4,54.8,59.3,93.3,normal
50059672,2025-08-01 09:23:27,63.5,61.5,40.3,83.0,normal
50059672,2025-08-12 04:48:53,71.4,32.9,41.0,69.9,high
50059672,2025-08-05 00:13:12,71.5,54.9,80.0,79.3,warning
50059672,2025-08-05 16:02:35,73.3,51.8,56.9,62.4,high
50059672,2025-08-13 03:46:28,72.3,32.4,60.3,81.4,normal
50059672,2025-08-06 14:26:12,72.9,42.9,36.5,76.1,warning
50059672,2025-08-08 05:22:03,70.6,40.6,41.9,89.0,normal
50059672,2025-08-05 17:00:24,68.9,29.1,61.2,86.8,normal
50162195,2025-08-12 03:04:13,68.9,53.9,30.8,81.2,normal
50162195,2025-08-02 01:02:29,68.9,62.2,8.4,91.6,normal
50162195,2025-08-02 16:10:56,71.5,38.8,58.8,60.5,high
50162195,2025-08-02 22:35:13,72.8,32.5,26.8,94.9,normal
50162195,2025-08-06 10:18:25,72.5,26.2,76.2,97.7,normal
50162195,2025-08-13 10:46:14,75.9,51.0,52.0,70.4,warning
50162195,2025-08-02 19:07:38,63.8,46.9,39.1,99.7,normal
50162195,2025-08-04 08:22:30,67.1,41.1,50.9,97.9,normal
50162195,2025-08-06 13:06:12,68.4,44.7,52.6,98.5,normal
50162195,2025-08-07 06:58:32,75.9,44.1,19.6,98.6,normal
50010372,2025-08-09 06:28:07,72.5,54.4,60.2,93.6,normal
50010372,2025-08-12 20:41:24,72.1,57.9,41.1,80.7,normal
50010372,2025-08-02 21:38:00,77.0,65.4,66.5,67.4,high
50010372,2025-08-10 19:45:14,75.5,61.0,54.8,92.1,normal
50010372,2025-08-07 03:02:22,82.0,34.9,21.9,61.9,high
50010372,2025-08-11 16:48:06,69.4,52.9,39.6,81.4,normal
50010372,2025-08-11 22:43:33,76.8,51.9,45.4,69.1,high
50010372,2025-08-07 12:46:45,68.2,43.9,26.9,72.0,warning
50010372,2025-08-13 20:10:12,66.2,45.2,59.0,84.2,normal
50010372,2025-08-11 14:52:50,74.6,48.1,43.2,78.0,warning
50017826,2025-08-05 18:27:11,78.3,37.0,54.0,69.8,high
50017826,2025-08-07 11:22:43,77.4,38.7,32.0,76.2,warning
50017826,2025-08-12 05:45:14,68.1,42.0,43.4,71.1,warning
50017826,2025-08-04 15:53:29,64.9,40.4,22.3,63.0,high
50017826,2025-08-07 22:50:49,66.9,63.6,44.6,72.3,warning
50017826,2025-08-05 09:42:01,71.6,38.1,29.5,64.2,high
50017826,2025-08-13 22:14:59,68.4,25.6,86.6,61.4,high
50017826,2025-08-02 20:34:47,63.6,40.2,71.3,64.4,high
50017826,2025-08-12 15:10:47,70.3,54.3,40.6,97.0,normal
50017826,2025-08-02 05:34:39,78.5,36.0,70.5,96.1,normal
50170552,2025-08-06 08:50:54,66.3,37.4,38.8,65.1,high
50170552,2025-08-07 17:15:03,68.7,48.7,44.4,88.4,normal
50170552,2025-08-02 02:18:57,69.0,35.2,60.2,79.3,warning
50170552,2025-08-07 17:06:28,79.8,44.3,48.8,88.6,normal
50170552,2025-08-07 18:29:14,66.6,59.7,52.9,67.0,high
50170552,2025-08-02 19:22:14,69.8,53.2,68.6,93.8,normal
50170552,2025-08-01 10:17:54,70.4,49.7,63.3,80.0,normal
50170552,2025-08-07 21:48:56,66.1,57.6,39.1,91.7,normal
50170552,2025-08-08 22:09:28,80.9,33.8,58.2,61.1,high
50170552,2025-08-04 23:07:39,79.7,24.4,70.1,99.6,normal
50057959,2025-08-12 21:36:19,67.9,31.8,49.0,76.2,warning
50057959,2025-08-12 02:03:19,72.8,39.8,38.0,89.9,normal
50057959,2025-08-02 16:37:43,72.5,59.8,51.3,72.4,warning
50057959,2025-08-11 12:29:22,75.0,47.4,42.9,100.0,normal
50057959,2025-08-04 17:13:22,58.3,52.9,72.8,62.5,high
50057959,2025-08-08 06:11:08,72.3,54.7,52.8,99.7,normal
50057959,2025-08-03 17:44:26,75.9,23.6,54.1,77.1,warning
50057959,2025-08-08 03:45:21,70.2,67.6,58.5,65.5,high
50057959,2025-08-10 14:03:34,64.7,68.3,51.7,67.7,high
50057959,2025-08-11 09:29:03,60.1,60.6,62.1,64.8,high
50115168,2025-08-02 01:17:14,77.9,56.7,34.3,92.8,normal
50115168,2025-08-04 20:45:49,69.9,67.3,47.6,89.6,normal
50115168,2025-08-04 18:02:11,70.4,51.5,40.4,95.5,normal
50115168,2025-08-10 01:21:14,75.0,50.8,29.5,94.1,normal
50115168,2025-08-13 23:40:17,65.4,40.3,45.0,74.6,warning
50115168,2025-08-07 04:56:39,76.2,53.5,36.3,89.3,normal
50115168,2025-08-11 12:33:18,69.8,35.9,56.1,67.5,high
50115168,2025-08-03 18:37:44,81.5,54.2,32.6,99.3,warning
50115168,2025-08-08 03:34:27,71.4,57.7,14.9,78.0,warning
50115168,2025-08-04 23:34:38,79.6,34.0,60.5,98.0,normal
50167409,2025-08-13 05:42:53,76.8,48.3,56.5,76.4,warning
50167409,2025-08-11 20:10:28,69.5,45.8,39.7,95.2,normal
50167409,2025-08-08 11:48:56,74.2,30.9,70.6,62.4,high
50167409,2025-08-09 22:35:37,73.7,25.3,44.2,82.3,normal
50167409,2025-08-13 03:53:52,78.6,56.6,59.1,95.2,normal
50167409,2025-08-12 01:09:20,71.6,42.9,48.3,99.9,normal
50167409,2025-08-04 19:04:55,74.1,42.6,39.8,86.9,normal
50167409,2025-08-10 05:21:19,74.5,46.6,48.2,67.8,high
50167409,2025-08-11 05:31:11,73.3,36.1,45.9,88.2,normal
50167409,2025-08-04 00:36:41,73.8,49.3,40.7,88.1,normal
50070654,2025-08-05 08:20:20,79.0,59.1,24.5,82.8,normal
50070654,2025-08-13 09:37:48,79.5,50.8,27.5,81.4,normal
50070654,2025-08-08 13:42:38,71.1,38.0,70.1,91.0,normal
50070654,2025-08-10 14:39:33,75.2,58.1,64.4,76.0,warning
50070654,2025-08-02 08:24:57,74.0,37.6,27.6,95.0,normal
50070654,2025-08-02 04:04:44,74.6,48.6,56.5,77.8,warning
50070654,2025-08-11 11:50:49,77.4,37.3,26.6,71.0,warning
50070654,2025-08-13 02:09:31,69.9,54.5,58.3,66.0,high
50070654,2025-08-06 14:56:50,61.8,48.9,35.9,72.1,warning
50070654,2025-08-11 03:58:37,80.4,30.5,62.1,75.8,warning
50168859,2025-08-02 18:41:41,73.2,48.7,41.0,98.9,normal
50168859,2025-08-03 03:27:08,64.4,50.6,52.2,71.5,warning
50168859,2025-08-05 14:29:17,71.6,67.2,49.3,81.9,normal
50168859,2025-08-12 09:02:14,63.8,50.9,70.0,93.4,normal
50168859,2025-08-12 03:03:37,73.2,30.8,60.0,95.1,normal
50168859,2025-08-05 02:19:22,75.5,35.2,56.0,78.9,warning
50168859,2025-08-04 20:15:57,70.1,55.4,52.5,74.6,warning
50168859,2025-08-07 06:19:37,71.7,49.6,71.0,70.2,warning
50168859,2025-08-06 05:12:23,69.2,25.3,45.2,88.4,normal
50168859,2025-08-03 08:59:30,74.5,65.1,55.6,87.2,normal
50152068,2025-08-05 02:37:41,72.6,29.3,64.8,69.0,high
50152068,2025-08-10 14:26:26,74.3,38.3,49.4,61.5,high
50152068,2025-08-03 14:41:29,70.2,40.5,35.5,65.6,high
50152068,2025-08-04 16:20:02,68.4,76.2,41.4,96.2,normal
50152068,2025-08-05 15:48:49,59.8,43.9,26.6,86.3,normal
50152068,2025-08-08 03:01:37,77.5,60.1,53.1,64.8,high
50152068,2025-08-01 11:08:10,78.5,52.8,52.6,61.1,high
50152068,2025-08-10 05:20:43,75.9,36.6,56.9,61.6,high
50152068,2025-08-04 09:43:34,76.9,50.7,51.0,89.2,normal
50152068,2025-08-07 21:03:17,75.3,43.1,46.1,87.4,normal
50135791,2025-08-12 09:37:17,73.9,43.9,63.8,79.6,warning
50135791,2025-08-02 21:44:47,72.0,50.1,72.5,60.4,high
50135791,2025-08-12 02:36:49,76.5,54.0,45.2,93.2,normal
50135791,2025-08-08 17:29:57,70.0,32.0,49.3,96.4,normal
50135791,2025-08-13 05:38:12,80.6,50.5,35.2,78.8,warning
50135791,2025-08-09 12:44:24,79.8,42.3,64.9,90.2,normal
50135791,2025-08-05 11:41:13,77.7,47.1,69.9,87.8,normal
50135791,2025-08-07 06:34:59,62.2,41.3,30.6,92.6,normal
50135791,2025-08-02 08:15:31,70.6,47.6,35.0,84.1,normal
50135791,2025-08-12 05:35:29,78.4,49.1,57.8,85.3,normal
50077882,2025-08-13 00:15:07,72.8,51.7,62.4,87.2,normal
50077882,2025-08-10 12:22:34,73.2,42.3,42.4,73.5,warning
50077882,2025-08-10 05:03:43,68.3,46.3,30.9,96.8,normal
50077882,2025-08-12 22:30:23,73.0,60.8,36.0,76.1,warning
50077882,2025-08-04 13:29:47,72.4,12.7,72.2,77.5,warning
50077882,2025-08-02 19:17:46,63.1,51.1,45.0,83.5,normal
50077882,2025-08-01 17:10:38,78.5,42.3,34.4,60.0,high
50077882,2025-08-05 16:27:14,64.8,38.5,25.5,88.2,normal
50077882,2025-08-01 20:08:44,58.8,56.9,41.1,88.1,normal
50077882,2025-08-04 22:16:14,71.8,56.3,62.1,98.0,normal
50069764,2025-08-07 04:04:48,65.9,60.6,40.2,62.5,high
50069764,2025-08-10 06:09:43,69.8,34.4,55.7,70.0,warning
50069764,2025-08-04 20:14:27,78.6,50.5,55.0,91.4,normal
50069764,2025-08-06 17:09:00,74.9,40.1,46.7,63.9,high
50069764,2025-08-01 08:50:06,76.4,46.6,46.4,81.9,normal
50069764,2025-08-11 14:44:39,64.8,53.7,46.1,60.5,high
50069764,2025-08-06 18:27:41,75.5,60.2,61.2,92.7,normal
50069764,2025-08-10 17:35:34,75.6,59.7,59.4,70.0,warning
50069764,2025-08-07 20:16:41,66.3,36.6,53.6,62.1,high
50069764,2025-08-05 04:03:32,75.5,43.3,70.5,79.6,warning
40958170,2025-08-09 17:33:17,66.6,41.4,45.6,79.7,warning
40958170,2025-08-08 15:24:01,71.3,46.6,25.1,87.8,normal
40958170,2025-08-04 19:05:30,75.2,52.7,50.0,70.2,warning
40958170,2025-08-09 13:56:28,68.0,41.7,55.2,81.6,normal
40958170,2025-08-09 07:48:20,76.1,51.7,55.8,85.8,normal
40958170,2025-08-11 21:21:34,72.3,31.9,54.0,69.2,high
40958170,2025-08-09 12:21:43,69.3,32.5,69.4,69.2,high
40958170,2025-08-08 00:40:06,70.0,39.4,64.7,66.8,high
40958170,2025-08-13 11:41:36,67.0,33.0,52.3,68.5,high
40958170,2025-08-02 09:34:04,76.4,51.4,51.5,80.2,normal
50065696,2025-08-04 05:29:39,68.3,34.7,47.3,91.1,normal
50065696,2025-08-10 01:10:36,71.0,29.8,55.4,94.3,normal
50065696,2025-08-07 20:59:45,65.7,51.9,56.8,72.2,warning
50065696,2025-08-04 06:54:57,71.5,34.9,48.5,62.5,high
50065696,2025-08-04 11:12:46,69.4,51.4,23.9,60.7,high
50065696,2025-08-05 18:46:44,78.9,43.3,48.8,65.8,high
50065696,2025-08-03 05:05:34,66.6,27.9,35.5,71.7,warning
50065696,2025-08-10 15:53:23,66.0,56.8,30.2,62.8,high
50065696,2025-08-07 06:31:08,77.5,32.2,61.6,73.1,warning
50065696,2025-08-10 21:41:41,71.6,31.9,76.9,80.6,normal
50143248,2025-08-01 02:37:53,68.8,29.9,26.4,84.1,normal
50143248,2025-08-12 06:47:58,83.1,43.7,63.0,99.6,warning
50143248,2025-08-02 23:36:35,71.5,34.2,38.4,81.4,normal
50143248,2025-08-11 06:57:17,75.9,53.5,69.2,93.2,normal
50143248,2025-08-04 19:11:10,73.4,34.7,53.1,61.4,high
50143248,2025-08-03 20:15:16,71.6,29.1,43.8,99.5,normal
50143248,2025-08-02 21:31:22,76.8,51.4,55.3,72.1,warning
50143248,2025-08-11 01:54:40,75.2,57.6,79.6,71.8,warning
50143248,2025-08-04 20:34:28,68.6,43.6,60.7,83.2,normal
50143248,2025-08-04 10:39:30,76.8,35.9,43.3,69.1,high
50047817,2025-08-11 20:57:11,80.3,52.8,31.2,81.6,warning
50047817,2025-08-09 06:05:59,74.1,47.2,56.1,79.7,warning
50047817,2025-08-02 10:20:51,79.7,51.8,51.2,99.0,normal
50047817,2025-08-07 02:49:32,65.5,37.3,61.9,88.8,normal
50047817,2025-08-05 23:29:17,78.7,50.5,63.5,67.9,high
50047817,2025-08-06 15:01:14,76.9,42.8,49.3,60.0,high
50047817,2025-08-06 19:30:07,71.7,65.2,42.0,93.1,normal
50047817,2025-08-07 10:20:39,69.0,54.5,43.1,70.7,warning
50047817,2025-08-11 07:13:06,79.5,51.9,44.8,79.7,warning
50047817,2025-08-09 20:27:17,70.1,45.5,55.9,65.5,high
50001547,2025-08-03 05:12:19,68.1,38.2,54.7,67.2,high
50001547,2025-08-11 18:26:38,61.8,44.1,62.5,94.0,normal
50001547,2025-08-11 16:35:54,68.1,31.7,72.5,88.2,normal
50001547,2025-08-12 07:50:54,69.0,45.6,33.2,81.7,normal
50001547,2025-08-01 21:39:16,71.4,33.0,54.8,99.4,normal
50001547,2025-08-08 13:17:13,67.4,33.0,59.0,92.6,normal
50001547,2025-08-04 01:41:35,71.7,34.6,62.7,97.4,normal
50001547,2025-08-05 08:32:31,69.2,67.6,38.9,76.8,warning
50001547,2025-08-02 09:00:28,67.9,41.7,42.5,93.8,normal
50001547,2025-08-03 13:28:50,76.2,45.8,76.0,77.8,warning
41644539,2025-08-04 02:18:13,72.3,48.0,61.2,60.5,high
41644539,2025-08-05 11:11:30,67.1,57.2,44.0,76.9,warning
41644539,2025-08-04 22:40:57,72.1,31.4,54.5,63.3,high
41644539,2025-08-12 05:23:50,67.4,42.1,29.1,69.7,high
41644539,2025-08-01 23:09:43,76.9,42.7,60.2,92.6,normal
41644539,2025-08-13 18:25:40,78.0,70.3,45.1,79.0,warning
41644539,2025-08-06 18:00:06,70.0,44.3,63.9,75.5,warning
41644539,2025-08-02 16:30:35,74.6,35.7,63.1,71.9,warning
